conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/0488,"programas e qualificações interdisciplinares que envolvem as ciências empresariais, administração e direito",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0488
SkillGroup,http://data.europa.eu/esco/isced-f/049,"programas de ciências empresariais, administração e direito não classificados noutras áreas",,,released,2022-06-07T12:45:17.113Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,049
SkillGroup,http://data.europa.eu/esco/isced-f/0499,"programas de ciências empresariais, administração e direito não classificados noutras áreas",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0499
SkillGroup,http://data.europa.eu/esco/isced-f/05,"ciências naturais, matemática e estatística",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,05
SkillGroup,http://data.europa.eu/esco/isced-f/050,"ciências naturais, matemática e estatística sem definição precisa",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,050
SkillGroup,http://data.europa.eu/esco/isced-f/0500,"ciências naturais, matemática e estatística sem definição precisa",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0500
SkillGroup,http://data.europa.eu/esco/isced-f/051,ciências biológicas e ciências afins,,,released,2023-06-30T12:14:05.574Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,051
SkillGroup,http://data.europa.eu/esco/isced-f/0510,ciências biológicas e ciências afins sem definição precisa,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0510
SkillGroup,http://data.europa.eu/esco/isced-f/0511,biologia,,,released,2023-10-27T15:46:55.213Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0511
SkillGroup,http://data.europa.eu/esco/isced-f/0512,bioquímica,,,released,2023-06-30T09:19:04.893Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0512
SkillGroup,http://data.europa.eu/esco/isced-f/0519,programas de ciências biológicas e ciências afins não classificados noutras áreas,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0519
SkillGroup,http://data.europa.eu/esco/isced-f/052,ambiente,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,052
SkillGroup,http://data.europa.eu/esco/isced-f/0520,ambiente sem definição precisa,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0520
