conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf1f763e-c505-46e7-8af3-e48f13ec5f44,engenharia de controlo,released,knowledge,cross-sector,,Subdisciplina da engenharia centrada no controlo do comportamento dos sistemas através da utilização de sensores e atuadores.,http://data.europa.eu/esco/isced-f/0714,eletrónica e automação
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf298db2-b90e-4739-85ca-9c3003103fab,gerir localização de software,released,skill/competence,occupation-specific,,"Organizar o processo de transferência de um determinado software de um local para outro, a fim de aumentar o número de utilizadores, alterando o conteúdo através da utilização da tradução da interface do utilizador, tendo simultaneamente em conta as características específicas do país onde o software será introduzido.",http://data.europa.eu/esco/skill/87dff904-fb74-4d59-972e-1c2387579d94,dirigir atividades operacionais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf4d884f-c848-402a-b130-69c266b04164,aplicar competências básicas de programação,released,skill/competence,transversal,,"Enumerar instruções simples para um sistema informático resolver problemas ou executar tarefas a um nível básico, se necessário com ajuda.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,trabalhar com dispositivos e aplicações digitais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf675dff-ce7b-4f88-8a93-683a06e6617e,usar programas de impressão a cores,released,skill/competence,sector-specific,,"Utilizar programas de impressão a cores, tais como o sistema de cor CMYK (tinta) para várias máquinas de prensagem.",http://data.europa.eu/esco/skill/dcb9c446-bb08-44de-89b6-851ac2903eaf,operar equipamento para produção de material impresso e fotográfico
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf6c5ed4-84af-440f-abcc-7fa5ba19c738,computação em tempo real,released,knowledge,occupation-specific,,Sistemas de hardware e software no domínio das TIC que são obrigados a dar resposta à informação recebida dentro de limites de tempo muito precisos e apertados.,http://data.europa.eu/esco/isced-f/0612,design e administração de bases de dados e de redes informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf7ea00f-db77-4a95-9b9f-2d12b6d9fcb4,executar ferramentas de diagnóstico de redes de TIC,released,skill/competence,sector-specific,,"Utilizar ferramentas ou componentes de software que monitorizem os parâmetros de redes de TIC, tais como o desempenho e o rendimento, para fornecer dados e estatísticas, diagnosticar erros, falhas ou estrangulamentos e apoiar na tomada de decisões.",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,instalar sistemas informáticos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/bf942c60-8539-4951-83ee-63f770da1cb8,programar controlador CNC,released,skill/competence,cross-sector,,Configurar o design pretendido do produto no controlador CNC da máquina CNC para o fabrico de produtos.,http://data.europa.eu/esco/skill/5fc0d7d8-bb81-4c1e-b420-e0f1ef8c2743 | http://data.europa.eu/esco/skill/494b8057-daf5-46a0-b33b-416e0115c30a,manipular os comandos do equipamento | utilizar ferramentas digitais para controlar máquinas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c022ff1b-7783-4e64-89ef-0422c81ff51f,desenhar sistemas microeletromecânicos,released,skill/competence,cross-sector,,"Desenhar e desenvolver sistemas microeletromecânicos (MEMS), tais como dispositivos de microsensores. Fazer um modelo de simulação utilizando software de design técnico para avaliar a viabilidade do produto e examinar os parâmetros físicos para assegurar o êxito do processo de produção.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,conceber sistemas ou equipamento elétricos e eletrónicos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c0326e27-5fa8-4dca-aecb-ed89ab491513,preparar dados visuais,released,skill/competence,cross-sector,,Preparar quadros e gráficos para apresentar os dados de forma visual.,http://data.europa.eu/esco/skill/446a36a5-2376-439f-b46b-4a214ba0acdf,"utilizar programas informáticos de tratamento, edição e apresentação de textos"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c0502e2a-1e12-422e-994e-cf9bf814e3b2,orientar os alunos na utilização de tecnologias de apoio,released,skill/competence,sector-specific,,"Dar instruções e orientar os alunos sobre a forma de utilizar tecnologias de apoio adequadas ao seu desafio de aprendizagem específico, como previsão de palavras, conversão de texto em voz ou reconhecimento vocal. Explicar as características da tecnologia e os seus benefícios para o aluno.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,dar formação em procedimentos operacionais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c062bab3-3ea0-4291-9220-a2d8fef4bead,SQL Server,released,knowledge,sector-specific,,"O programa de computador SQL Server é uma ferramenta de criação, atualização e gestão de bases de dados, desenvolvido pela empresa de software Microsoft.",http://data.europa.eu/esco/skill/ab1e97ed-2319-4293-a8b7-072d2648822f | http://data.europa.eu/esco/isced-f/0612,sistemas de gestão de bases de dados | design e administração de bases de dados e de redes informáticas
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c0e2f74c-51f0-4020-9756-d190848cf181,integrar conteúdos em meios de comunicação,released,skill/competence,sector-specific,,"Compilar e integrar os conteúdos dos meios de comunicação e textuais em sistemas online e offline, tais como sítios Web, plataformas, aplicações e redes sociais, para publicação e distribuição.",http://data.europa.eu/esco/skill/b769f524-0f25-44d7-8538-5c46710a040e | http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"organizar documentos digitais | gerir, recolher e armazenar dados digitais"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c13fb093-5ffb-491a-b8b7-fa2d42a57e2e,garantir a segurança e a conformidade da computação em nuvem,released,skill/competence,sector-specific,,"Aplicar e gerir as políticas de segurança e os controlos de acesso na computação em nuvem. Diferenciar as funções e as responsabilidades no âmbito do modelo de responsabilidade partilhada.
	",http://data.europa.eu/esco/skill/69cfc5ed-6569-4aca-a4cc-fd782ba51d9c | http://data.europa.eu/esco/skill/7e153e1d-2b12-43ad-89f3-0cf82ebc4a30,executar gestão de riscos de TIC | conduzir processos de análise e gestão do riscos
