conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/076d23f3-a689-4f1a-8b55-ae870c9aaa85,2413.1.4,Analista de títulos,0.0
Occupation,http://data.europa.eu/esco/occupation/8d586ee9-0ab1-4155-a3b0-2ca786c8e48c,2413.1,Analista financeiro/Analista financeira,0.0425531914893617
Occupation,http://data.europa.eu/esco/occupation/276a4ff1-a67c-4677-9f20-dc85f1060e1b,2413.2,Analista de middle office,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C2413,2413,Analistas financeiros,0.026472043542800455
ISCO level 3,http://data.europa.eu/esco/isco/C242,242,Especialistas em organização administrativa,0.04321980198863492
Occupation,http://data.europa.eu/esco/occupation/219d1c30-3849-4de3-b0d6-07da187b6521,2421.1.1,Analista de custos de produção,0.0294117647058823
Occupation,http://data.europa.eu/esco/occupation/60082a99-d8ef-4e84-9290-78902681b6ed,2421.1,Analista de organização e métodos,0.0377358490566037
Occupation,http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97,2421.2,Consultor de gestão/Consultora de gestão,0.0555555555555555
Occupation,http://data.europa.eu/esco/occupation/207d7b18-6540-432e-8aa6-785ed434572f,2421.3,Analista de informação financeira,0.0338983050847457
Occupation,http://data.europa.eu/esco/occupation/c9862fdd-53b7-4da9-b742-4302d704836c,2421.4,gestor de processos eficientes/gestora de processos eficientes,0.0357142857142857
Occupation,http://data.europa.eu/esco/occupation/51cd3a7a-eae6-4dc6-9f24-179d7ec6d230,2421.5,Analista de logística,0.06153846153846154
Occupation,http://data.europa.eu/esco/occupation/a520fba4-2a29-43a0-bfd5-43892306501d,2421.6,consultor de modelação da informação da construção/consultora de modelação da informação da construção,0.0
Occupation,http://data.europa.eu/esco/occupation/a330b100-e651-4db1-bcf0-e9cbc025c614,2421.7,responsável de processos,0.04
Occupation,http://data.europa.eu/esco/occupation/8d463763-5d38-4f47-903c-1c4df32141c1,2421.8,consultor de cidades inteligentes/consultora de cidades inteligentes,0.416666666666666
ISCO level 4,http://data.europa.eu/esco/isco/C2421,2421,Analistas em gestão e organização,0.07894676536913339
Occupation,http://data.europa.eu/esco/occupation/ffade2f4-2528-4dfd-b36a-6e4092be08ed,2422.1,Funcionário administrativo/Funcionária administrativa,0.0
Occupation,http://data.europa.eu/esco/occupation/39e9fc8f-02bd-4577-b603-2dc96204ce74,2422.2,Responsável pela política de desenvolvimento comunitário,0.0
Occupation,http://data.europa.eu/esco/occupation/65fb0b53-b8c4-4839-b099-c80b6de5a158,2422.3,Coordenador de programas de emprego/Coordenadora de programas de emprego,0.037037037037037
Occupation,http://data.europa.eu/esco/occupation/643a2225-6a01-4899-81b0-e867ca09b9c9,2422.5,Inspetor de políticas públicas/Inspetora de políticas públicas,0.0
Occupation,http://data.europa.eu/esco/occupation/61053604-8091-4a8e-9c63-5151051722e3,2422.6,Consultor na área dos cuidados de saúde/Consultora na área dos cuidados de saúde,0.0
Occupation,http://data.europa.eu/esco/occupation/3fa31588-2e4d-49c3-b839-4b615cc62742,2422.7,Conselheiro humanitário/Conselheira humanitária,0.0
Occupation,http://data.europa.eu/esco/occupation/4ca8ba6c-dc55-40c0-ae6c-d55c94dd2e03,2422.8,Especialista em informações no âmbito da segurança interna,0.0
Occupation,http://data.europa.eu/esco/occupation/7819669b-30c2-42e6-a1c4-0bcd6f0379ff,2422.9,Responsável na área das relações internacionais,0.0
Occupation,http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6,2422.10,responsável pela monitorização e avaliação,0.0204081632653061
Occupation,http://data.europa.eu/esco/occupation/d9004a14-bda2-4c63-ab64-17ca163ac1bd,2422.11,Assessor parlamentar/Assessora parlamentar,0.0
Occupation,http://data.europa.eu/esco/occupation/98f17395-0f8c-4f51-9072-cb8f66fd6044,2422.12.1,Especialista em política agrícola,0.303030303030303
Occupation,http://data.europa.eu/esco/occupation/3826cb92-27f5-40ac-8dad-70af5abd6036,2422.12.2,Especialista em política de concorrência,0.0
Occupation,http://data.europa.eu/esco/occupation/5fe1b340-9b02-4c40-bbc9-ffd4d5fb5699,2422.12.3,Especialista em política cultural,0.0
Occupation,http://data.europa.eu/esco/occupation/f817aab2-ec8a-45ec-88ef-c11e0f19fd85,2422.12.4,Especialista em política educativa,0.0
Occupation,http://data.europa.eu/esco/occupation/b5d2db88-9e2b-4efa-8f2f-0e62a494791e,2422.12.5,Especialista em política ambiental,0.826086956521739
Occupation,http://data.europa.eu/esco/occupation/50e00fda-ac7c-4bc5-9f19-69a33ff3d6e7,2422.12.6,Especialista em política orçamental,0.0
Occupation,http://data.europa.eu/esco/occupation/f7450c1f-20b7-45dd-b3bb-25095830bf3f,2422.12.7,Especialista em política externa,0.0
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422.12.8,Especialista em política de habitação,0.0666666666666666
Occupation,http://data.europa.eu/esco/occupation/6b5e5aa6-9bf7-47e6-90d2-4d2187d47d11,2422.12.9,Especialista em política de imigração,0.0
Occupation,http://data.europa.eu/esco/occupation/a1ba7574-cc28-446c-9741-12d7fbb325cb,2422.12.10,Especialista em política de emprego,0.0
